MESE;COD_DITT;UNI_FUNZ;FNM_g_2017;FEM_g_2017;FTM_g_2017;ASIA;ateco;FNM_p_2016;FEM_p_2016;FTM_p_2016
3;00505778A;0;411;1191;1602;312386;284;60;71;131
1;00520038A;0;62;124;186;203529;142;33;98;131
1;00507207A;0;;;;23234919;332;95;37;132
7;00509124A;0;94;70;164;20088570;322;89;43;132
8;00507733A;0;32;16;48;30697;103;1;131;132
10;00505167A;0;647;0;647;50038;331;127;6;133
9;00505688A;0;136;5;141;256786;142;126;7;133
9;00508108A;0;47;2;49;191830;331;84;49;133
1;00003273E;0;13;155;168;2246994;289;35;98;133
1;00508623A;0;26;136;162;594520;289;12;121;133
1;00520075A;0;107;6;113;460704;232;131;3;134
10;00506333A;0;5;524;529;669460;237;3;131;134
3;00508567A;0;;;;535434;291;65;70;135
8;00010358D;0;90;57;147;2402296;331;37;99;136
9;00509545A;0;198;3;201;29138288;120;133;4;137
8;00508522A;0;234;0;234;491401;251;132;5;137
2;00520174A;0;22779;7579;30358;20720635;89;130;7;137
5;00501207A;0;46;129;175;133458;322;28;109;137
1;00505207A;0;88;116;204;58207;251;20;117;137
1;00520174A;0;65527;3130;68657;20720635;89;129;9;138
11;00506191A;0;721;152;873;555849;331;126;12;138
5;00509545A;0;152;3;155;29138288;120;102;36;138
8;00505644A;0;186;349;535;234588;143;57;81;138
2;00505986A;0;32;415;447;425285;251;72;67;139
1;00003109Q;4;92;120;212;24159397;256;68;71;139
2;00509124A;0;56;46;102;20088570;322;64;75;139
8;00508956A;0;165;350;515;15025999;253;38;101;139
4;00508780A;0;226;0;226;2810216;331;137;3;140
8;00508831A;0;160;3;163;3362270;251;131;9;140
5;00502145A;0;80;5;85;407226;143;130;10;140
1;00020756Y;0;120;944;1064;492864;332;118;22;140
2;00019332H;0;17;979;996;177482;289;110;30;140
10;00508458A;0;681;1655;2336;435950;237;89;51;140
10;00509124A;0;53;61;114;20088570;322;81;59;140
2;00509613A;0;4;3425;3429;29098731;289;22;118;140
3;00509039A;0;19;92;111;18949074;322;3;137;140
8;00520039A;0;51;10;61;203763;272;136;5;141
8;00506180A;0;3;31;34;548790;263;26;115;141
3;00520075A;0;156;9;165;460704;232;139;3;142
8;00005240Z;0;79;96;175;2570134;256;103;39;142
11;00003109Q;4;144;169;313;24159397;256;27;115;142
8;00507877A;0;245;70;315;81049;259;140;3;143
5;00503098A;0;444;62;506;3203493;141;133;10;143
6;00502011A;0;305;21;326;369310;141;132;11;143
8;00506415A;0;130;35;165;2451113;332;116;27;143
4;00520038A;0;47;71;118;203529;142;69;74;143
3;00509545A;0;156;28;184;29138288;120;64;79;143
8;00503752A;0;22;289;311;20125677;322;25;118;143
6;00506164A;0;26;411;437;537842;257;11;132;143
1;00505283A;0;574;74;648;81139;251;37;107;144
8;00502499A;0;11;0;11;568626;81;27;117;144
5;00509091A;0;6;65;71;19620859;322;12;132;144
12;00520174A;0;0;0;0;20720635;89;137;8;145
10;00508108A;0;92;15;107;191830;331;118;27;145
1;00506572A;0;32;61;93;3808611;251;46;99;145
10;00508647A;0;545;1919;2464;619072;289;43;102;145
1;00509382A;0;145;11;156;25984960;268;137;9;146
12;00509124A;0;38;51;89;20088570;322;68;79;147
1;00001828P;0;40;18;58;82309;324;33;114;147
8;00004198Y;0;62;349;411;230540;245;23;124;147
3;00503717A;0;9;1142;1151;27320097;284;7;140;147
11;00508529A;0;831;0;831;496938;331;138;10;148
6;00505167A;0;2248;92;2340;50038;331;138;10;148
12;00500924A;0;208;40;248;79534;81;114;34;148
11;00505210A;0;35;787;822;58492;257;112;37;149
8;00509613A;0;0;344;344;29098731;289;50;99;149
3;00520108A;0;109432;21858;131290;679330;91;125;25;150
9;00509124A;0;65;58;123;20088570;322;94;56;150
8;00508196A;0;22;113;135;257304;323;65;85;150
2;00003109Q;4;63;141;204;24159397;256;41;109;150
8;00509382A;0;95;16;111;25984960;268;143;8;151
1;00506229A;0;18;1;19;26336474;282;127;24;151
8;00506285A;0;154;0;154;634503;331;100;51;151
8;00507715A;0;20;137;157;25002;323;24;127;151
12;00509039A;0;49;216;265;18949074;322;20;131;151
8;00500744A;0;513;7;520;54038;131;134;18;152
8;00508664A;0;221;50;271;639059;256;131;22;153
3;00507932A;0;115;117;232;102643;142;110;43;153
11;00509124A;0;66;63;129;20088570;322;84;69;153
8;00508785A;0;31;1734;1765;2885611;282;63;90;153
4;00003109Q;4;57;101;158;24159397;256;27;126;153
12;00005701L;0;500;204;704;140598;259;2;151;153
3;00507957A;0;39;1152;1191;116058;256;147;7;154
6;00007064R;0;31;1682;1713;334421;289;60;94;154
7;00005580A;0;14;1169;1183;245902;284;45;109;154
1;00500245A;0;110;0;110;33146;322;15;139;154
8;00505767A;0;62;175;237;308264;139;14;140;154
5;00505326A;0;51;7;58;94850;143;153;2;155
5;00506825A;0;64;220;284;18533268;237;111;44;155
8;00005954R;0;101;0;101;33731;259;153;3;156
8;00508166A;0;301;10;311;240942;331;150;6;156
6;00004109V;0;180;4;184;2269386;141;147;9;156
8;00007383I;0;16;88;104;379675;222;34;122;156
